Date,Visitor Team,Home Team,Visitor Goals,Home Goals
2019-10-19,Boston Bruins,Toronto Maple Leafs,3,4
2019-10-20,Calgary Flames,Anaheim Ducks,2,1
2019-10-20,Washington Capitals,Chicago Blackhawks,5,3
2019-10-20,Montreal Canadiens,Minnesota Wild,3,4
2019-10-20,Vancouver Canucks,New York Rangers,3,2
2019-10-20,Edmonton Oilers,Winnipeg Jets,0,1
2019-10-21,Ottawa Senators,Dallas Stars,1,2
2019-10-21,Vegas Golden Knights,Philadelphia Flyers,2,6
2019-10-21,Colorado Avalanche,St. Louis Blues,1,3
2019-10-21,Columbus Blue Jackets,Toronto Maple Leafs,4,3
2019-10-22,Toronto Maple Leafs,Boston Bruins,2,4
2019-10-22,San Jose Sharks,Buffalo Sabres,3,4
2019-10-22,Washington Capitals,Calgary Flames,5,3
2019-10-22,Vegas Golden Knights,Chicago Blackhawks,2,1
2019-10-22,Vancouver Canucks,Detroit Red Wings,5,2
2019-10-22,Pittsburgh Penguins,Florida Panthers,2,4
2019-10-22,Edmonton Oilers,Minnesota Wild,0,3
2019-10-22,Anaheim Ducks,Nashville Predators,1,6
2019-10-22,Arizona Coyotes,New York Rangers,3,2
2019-10-22,Los Angeles Kings,Winnipeg Jets,3,2
2019-10-23,Detroit Red Wings,Ottawa Senators,2,5
2019-10-23,Pittsburgh Penguins,Tampa Bay Lightning,2,3
2019-10-24,Carolina Hurricanes,Columbus Blue Jackets,3,4
2019-10-24,Florida Panthers,Calgary Flames,5,6
2019-10-24,Philadelphia Flyers,Chicago Blackhawks,4,1
2019-10-24,Anaheim Ducks,Dallas Stars,1,2
2019-10-24,Washington Capitals,Edmonton Oilers,3,4
2019-10-24,San Jose Sharks,Montreal Canadiens,4,2
2019-10-24,Minnesota Wild,Nashville Predators,0,4
2019-10-24,Arizona Coyotes,New York Islanders,2,4
2019-10-24,Buffalo Sabres,New York Rangers,2,6
2019-10-24,Los Angeles Kings,St. Louis Blues,2,5
2019-10-25,Buffalo Sabres,Detroit Red Wings,2,0
2019-10-25,Arizona Coyotes,New Jersey Devils,5,3
2019-10-25,New York Islanders,Ottawa Senators,4,2
2019-10-25,San Jose Sharks,Toronto Maple Leafs,1,4
2019-10-25,Washington Capitals,Vancouver Canucks,6,5
2019-10-25,Colorado Avalanche,Vegas Golden Knights,6,1
2019-10-26,St. Louis Blues,Boston Bruins,0,3
2019-10-26,Chicago Blackhawks,Carolina Hurricanes,0,4
2019-10-26,Anaheim Ducks,Colorado Avalanche,5,2
2019-10-26,Pittsburgh Penguins,Dallas Stars,3,0
2019-10-26,Los Angeles Kings,Minnesota Wild,1,5
2019-10-26,Toronto Maple Leafs,Montreal Canadiens,2,5
2019-10-26,Columbus Blue Jackets,Philadelphia Flyers,4,7
2019-10-26,Nashville Predators,Tampa Bay Lightning,3,2
2019-10-26,Calgary Flames,Winnipeg Jets,1,2
2019-10-27,Los Angeles Kings,Chicago Blackhawks,1,5
2019-10-27,St. Louis Blues,Detroit Red Wings,5,4
2019-10-27,Florida Panthers,Edmonton Oilers,6,2
2019-10-27,Philadelphia Flyers,New York Islanders,3,5
2019-10-27,Boston Bruins,New York Rangers,7,4
2019-10-27,San Jose Sharks,Ottawa Senators,2,5
2019-10-27,Anaheim Ducks,Vegas Golden Knights,2,5
2019-10-28,Arizona Coyotes,Buffalo Sabres,3,2
2019-10-28,Florida Panthers,Vancouver Canucks,2,7
2019-10-29,Winnipeg Jets,Anaheim Ducks,4,7
2019-10-29,San Jose Sharks,Boston Bruins,1,5
2019-10-29,Calgary Flames,Carolina Hurricanes,1,2
2019-10-29,Minnesota Wild,Dallas Stars,3,6
2019-10-29,Edmonton Oilers,Detroit Red Wings,1,3
2019-10-29,Chicago Blackhawks,Nashville Predators,0,3
2019-10-29,Tampa Bay Lightning,New York Rangers,1,4
2019-10-29,Philadelphia Flyers,Pittsburgh Penguins,1,7
2019-10-29,Washington Capitals,Toronto Maple Leafs,4,3
2019-10-30,Montreal Canadiens,Arizona Coyotes,4,1
2019-10-30,Edmonton Oilers,Columbus Blue Jackets,4,1
2019-10-30,Florida Panthers,Colorado Avalanche,4,3
2019-10-30,Vancouver Canucks,Los Angeles Kings,5,3
2019-10-30,Tampa Bay Lightning,New Jersey Devils,7,6
2019-10-30,Minnesota Wild,St. Louis Blues,1,2
2019-10-31,Calgary Flames,Nashville Predators,6,5
2019-10-31,Montreal Canadiens,Vegas Golden Knights,5,4
2019-11-01,Vancouver Canucks,Anaheim Ducks,1,2
2019-11-01,Detroit Red Wings,Carolina Hurricanes,3,7
2019-11-01,Dallas Stars,Colorado Avalanche,2,1
2019-11-01,Philadelphia Flyers,New Jersey Devils,4,3
2019-11-01,Tampa Bay Lightning,New York Islanders,2,5
2019-11-01,Winnipeg Jets,San Jose Sharks,3,2
2019-11-01,Columbus Blue Jackets,St. Louis Blues,3,4
2019-11-01,Buffalo Sabres,Washington Capitals,1,6
2019-11-02,Colorado Avalanche,Arizona Coyotes,0,3
2019-11-02,Ottawa Senators,Boston Bruins,2,5
2019-11-02,New York Islanders,Buffalo Sabres,1,0
2019-11-02,New Jersey Devils,Carolina Hurricanes,5,3
2019-11-02,Calgary Flames,Columbus Blue Jackets,3,0
2019-11-02,Montreal Canadiens,Dallas Stars,1,4
2019-11-02,Detroit Red Wings,Florida Panthers,0,4
2019-11-02,Chicago Blackhawks,Los Angeles Kings,3,4
2019-11-02,St. Louis Blues,Minnesota Wild,4,3
2019-11-02,New York Rangers,Nashville Predators,2,1
2019-11-02,Toronto Maple Leafs,Philadelphia Flyers,4,3
2019-11-02,Edmonton Oilers,Pittsburgh Penguins,2,1
2019-11-02,Vancouver Canucks,San Jose Sharks,5,2
2019-11-02,Winnipeg Jets,Vegas Golden Knights,4,3
2019-11-03,Chicago Blackhawks,Anaheim Ducks,3,2
2019-11-03,Calgary Flames,Washington Capitals,2,4
2019-11-04,Pittsburgh Penguins,Boston Bruins,4,6
2019-11-04,Nashville Predators,Detroit Red Wings,6,1
2019-11-04,Arizona Coyotes,Edmonton Oilers,3,2
2019-11-04,Ottawa Senators,New York Rangers,6,2
2019-11-05,Minnesota Wild,Anaheim Ducks,4,2
2019-11-05,Vegas Golden Knights,Columbus Blue Jackets,2,1
2019-11-05,Arizona Coyotes,Calgary Flames,3,4
2019-11-05,Colorado Avalanche,Dallas Stars,1,4
2019-11-05,Boston Bruins,Montreal Canadiens,4,5
2019-11-05,Ottawa Senators,New York Islanders,1,4
2019-11-05,Carolina Hurricanes,Philadelphia Flyers,1,4
2019-11-05,Chicago Blackhawks,San Jose Sharks,2,4
2019-11-05,Los Angeles Kings,Toronto Maple Leafs,1,3
2019-11-05,St. Louis Blues,Vancouver Canucks,2,1
2019-11-05,New Jersey Devils,Winnipeg Jets,2,1
2019-11-06,St. Louis Blues,Edmonton Oilers,5,2
2019-11-06,Detroit Red Wings,New York Rangers,1,5
2019-11-07,Columbus Blue Jackets,Arizona Coyotes,3,2
2019-11-07,New York Rangers,Carolina Hurricanes,4,2
2019-11-07,New Jersey Devils,Calgary Flames,2,5
2019-11-07,Vancouver Canucks,Chicago Blackhawks,2,5
2019-11-07,Nashville Predators,Colorado Avalanche,4,9
2019-11-07,Washington Capitals,Florida Panthers,5,4
2019-11-07,Pittsburgh Penguins,New York Islanders,4,3
2019-11-07,Los Angeles Kings,Ottawa Senators,2,3
2019-11-07,Montreal Canadiens,Philadelphia Flyers,2,3
2019-11-07,Minnesota Wild,San Jose Sharks,5,6
2019-11-07,Vegas Golden Knights,Toronto Maple Leafs,1,2
2019-11-08,Tampa Bay Lightning,Buffalo Sabres,3,2
2019-11-08,Boston Bruins,Detroit Red Wings,2,4
2019-11-08,New Jersey Devils,Edmonton Oilers,0,4
2019-11-08,Vancouver Canucks,Winnipeg Jets,1,4
2019-11-09,Minnesota Wild,Arizona Coyotes,4,3
2019-11-09,St. Louis Blues,Calgary Flames,3,2
2019-11-09,Columbus Blue Jackets,Colorado Avalanche,2,4
2019-11-09,Los Angeles Kings,Montreal Canadiens,2,3
2019-11-09,Florida Panthers,New York Islanders,1,2
2019-11-09,Carolina Hurricanes,Ottawa Senators,1,4
2019-11-09,Chicago Blackhawks,Pittsburgh Penguins,2,3
2019-11-09,Nashville Predators,San Jose Sharks,1,2
2019-11-09,Buffalo Sabres,Tampa Bay Lightning,3,5
2019-11-09,Philadelphia Flyers,Toronto Maple Leafs,3,2
2019-11-09,Vegas Golden Knights,Washington Capitals,2,5
2019-11-10,Edmonton Oilers,Anaheim Ducks,6,2
2019-11-10,Philadelphia Flyers,Boston Bruins,3,2
2019-11-10,Toronto Maple Leafs,Chicago Blackhawks,4,5
2019-11-10,Vegas Golden Knights,Detroit Red Wings,2,3
2019-11-10,Florida Panthers,New York Rangers,6,5
2019-11-10,New Jersey Devils,Vancouver Canucks,2,1
2019-11-10,Dallas Stars,Winnipeg Jets,2,3
2019-11-11,Ottawa Senators,Carolina Hurricanes,2,8
2019-11-11,Arizona Coyotes,Washington Capitals,4,3
2019-11-12,Detroit Red Wings,Anaheim Ducks,4,3
2019-11-12,Florida Panthers,Boston Bruins,5,4
2019-11-12,Minnesota Wild,Los Angeles Kings,1,3
2019-11-12,Columbus Blue Jackets,Montreal Canadiens,2,3
2019-11-12,Pittsburgh Penguins,New York Rangers,2,3
2019-11-12,Edmonton Oilers,San Jose Sharks,3,6
2019-11-12,Arizona Coyotes,St. Louis Blues,3,2
2019-11-12,Nashville Predators,Vancouver Canucks,3,5
2019-11-12,Colorado Avalanche,Winnipeg Jets,4,0
2019-11-13,Dallas Stars,Calgary Flames,3,1
2019-11-13,Ottawa Senators,New Jersey Devils,4,2
2019-11-13,Toronto Maple Leafs,New York Islanders,4,5
2019-11-13,Washington Capitals,Philadelphia Flyers,2,1
2019-11-13,Chicago Blackhawks,Vegas Golden Knights,5,3
2019-11-14,San Jose Sharks,Anaheim Ducks,5,3
2019-11-14,Carolina Hurricanes,Buffalo Sabres,5,4
2019-11-14,Colorado Avalanche,Edmonton Oilers,2,6
2019-11-14,Winnipeg Jets,Florida Panthers,4,3
2019-11-14,Detroit Red Wings,Los Angeles Kings,2,3
2019-11-14,Arizona Coyotes,Minnesota Wild,2,3
2019-11-14,New York Rangers,Tampa Bay Lightning,3,9
2019-11-14,Dallas Stars,Vancouver Canucks,4,2
2019-11-15,St. Louis Blues,Columbus Blue Jackets,2,3
2019-11-15,Pittsburgh Penguins,New Jersey Devils,1,2
2019-11-15,Philadelphia Flyers,Ottawa Senators,1,2
2019-11-15,Boston Bruins,Toronto Maple Leafs,4,2
2019-11-15,Montreal Canadiens,Washington Capitals,5,2
2019-11-16,Calgary Flames,Arizona Coyotes,0,3
2019-11-16,Washington Capitals,Boston Bruins,3,2
2019-11-16,Ottawa Senators,Buffalo Sabres,2,4
2019-11-16,Dallas Stars,Edmonton Oilers,5,4
2019-11-16,New York Rangers,Florida Panthers,3,4
2019-11-16,Vegas Golden Knights,Los Angeles Kings,3,4
2019-11-16,Carolina Hurricanes,Minnesota Wild,4,3
2019-11-16,New Jersey Devils,Montreal Canadiens,4,3
2019-11-16,Chicago Blackhawks,Nashville Predators,7,2
2019-11-16,New York Islanders,Philadelphia Flyers,4,3
2019-11-16,Toronto Maple Leafs,Pittsburgh Penguins,1,6
2019-11-16,Detroit Red Wings,San Jose Sharks,3,4
2019-11-16,Anaheim Ducks,St. Louis Blues,4,1
2019-11-16,Winnipeg Jets,Tampa Bay Lightning,4,3
2019-11-16,Colorado Avalanche,Vancouver Canucks,5,4
2019-11-17,Buffalo Sabres,Chicago Blackhawks,1,4
2019-11-17,Calgary Flames,Vegas Golden Knights,0,6
2019-11-18,Los Angeles Kings,Arizona Coyotes,0,3
2019-11-18,Anaheim Ducks,Washington Capitals,2,5
2019-11-19,Minnesota Wild,Buffalo Sabres,4,1
2019-11-19,Montreal Canadiens,Columbus Blue Jackets,2,5
2019-11-19,Colorado Avalanche,Calgary Flames,3,2
2019-11-19,Carolina Hurricanes,Chicago Blackhawks,4,2
2019-11-19,Vancouver Canucks,Dallas Stars,1,6
2019-11-19,Ottawa Senators,Detroit Red Wings,4,3
2019-11-19,Philadelphia Flyers,Florida Panthers,2,5
2019-11-19,Boston Bruins,New Jersey Devils,5,1
2019-11-19,Winnipeg Jets,Nashville Predators,2,1
2019-11-19,New York Islanders,Pittsburgh Penguins,5,4
2019-11-19,Edmonton Oilers,San Jose Sharks,5,2
2019-11-19,Tampa Bay Lightning,St. Louis Blues,1,3
2019-11-19,Toronto Maple Leafs,Vegas Golden Knights,2,4
2019-11-20,Ottawa Senators,Montreal Canadiens,2,1
2019-11-20,Washington Capitals,New York Rangers,1,4
2019-11-21,Toronto Maple Leafs,Arizona Coyotes,3,1
2019-11-21,Buffalo Sabres,Boston Bruins,2,3
2019-11-21,Philadelphia Flyers,Carolina Hurricanes,5,3
2019-11-21,Detroit Red Wings,Columbus Blue Jackets,4,5
2019-11-21,Tampa Bay Lightning,Chicago Blackhawks,4,2
2019-11-21,Winnipeg Jets,Dallas Stars,3,5
2019-11-21,Anaheim Ducks,Florida Panthers,4,5
2019-11-21,Edmonton Oilers,Los Angeles Kings,1,5
2019-11-21,Colorado Avalanche,Minnesota Wild,2,3
2019-11-21,Vancouver Canucks,Nashville Predators,6,3
2019-11-21,Pittsburgh Penguins,New York Islanders,3,4
2019-11-21,Calgary Flames,St. Louis Blues,0,5
2019-11-21,San Jose Sharks,Vegas Golden Knights,2,1
2019-11-22,New York Rangers,Ottawa Senators,1,4
2019-11-22,New Jersey Devils,Pittsburgh Penguins,1,4
2019-11-23,Minnesota Wild,Boston Bruins,4,5
2019-11-23,Florida Panthers,Carolina Hurricanes,2,4
2019-11-23,Toronto Maple Leafs,Colorado Avalanche,5,3
2019-11-23,Chicago Blackhawks,Dallas Stars,1,2
2019-11-23,Arizona Coyotes,Los Angeles Kings,3,2
2019-11-23,New York Rangers,Montreal Canadiens,6,5
2019-11-23,Detroit Red Wings,New Jersey Devils,1,5
2019-11-23,Calgary Flames,Philadelphia Flyers,3,2
2019-11-23,New York Islanders,San Jose Sharks,1,2
2019-11-23,Nashville Predators,St. Louis Blues,4,2
2019-11-23,Anaheim Ducks,Tampa Bay Lightning,2,6
2019-11-23,Edmonton Oilers,Vegas Golden Knights,4,2
2019-11-23,Columbus Blue Jackets,Winnipeg Jets,3,4
2019-11-23,Vancouver Canucks,Washington Capitals,2,1
2019-11-24,Edmonton Oilers,Arizona Coyotes,4,3
2019-11-24,Carolina Hurricanes,Detroit Red Wings,2,0
2019-11-24,Buffalo Sabres,Florida Panthers,5,2
2019-11-25,New York Islanders,Anaheim Ducks,0,3
2019-11-25,Ottawa Senators,Columbus Blue Jackets,0,1
2019-11-25,Vegas Golden Knights,Dallas Stars,2,4
2019-11-25,San Jose Sharks,Los Angeles Kings,4,3
2019-11-25,St. Louis Blues,Nashville Predators,2,3
2019-11-25,Minnesota Wild,New York Rangers,2,3
2019-11-25,Vancouver Canucks,Philadelphia Flyers,1,2
2019-11-25,Calgary Flames,Pittsburgh Penguins,2,3
2019-11-25,Buffalo Sabres,Tampa Bay Lightning,2,5
2019-11-26,Dallas Stars,Chicago Blackhawks,0,3
2019-11-26,Boston Bruins,Montreal Canadiens,8,1
2019-11-26,Minnesota Wild,New Jersey Devils,3,2
2019-11-27,Anaheim Ducks,Arizona Coyotes,3,4
2019-11-27,Calgary Flames,Buffalo Sabres,3,2
2019-11-27,Philadelphia Flyers,Columbus Blue Jackets,3,2
2019-11-27,Edmonton Oilers,Colorado Avalanche,1,4
2019-11-27,Toronto Maple Leafs,Detroit Red Wings,6,0
2019-11-27,New York Islanders,Los Angeles Kings,1,4
2019-11-27,Vegas Golden Knights,Nashville Predators,4,3
2019-11-27,Carolina Hurricanes,New York Rangers,2,3
2019-11-27,Boston Bruins,Ottawa Senators,2,1
2019-11-27,Vancouver Canucks,Pittsburgh Penguins,6,8
2019-11-27,Winnipeg Jets,San Jose Sharks,5,1
2019-11-27,St. Louis Blues,Tampa Bay Lightning,4,3
2019-11-27,Florida Panthers,Washington Capitals,3,4
2019-11-28,New Jersey Devils,Montreal Canadiens,6,4
2019-11-29,Winnipeg Jets,Anaheim Ducks,3,0
2019-11-29,New York Rangers,Boston Bruins,2,3
2019-11-29,Toronto Maple Leafs,Buffalo Sabres,4,6
2019-11-29,Nashville Predators,Carolina Hurricanes,3,0
2019-11-29,Pittsburgh Penguins,Columbus Blue Jackets,2,5
2019-11-29,Colorado Avalanche,Chicago Blackhawks,5,2
2019-11-29,St. Louis Blues,Dallas Stars,3,1
2019-11-29,Ottawa Senators,Minnesota Wild,2,7
2019-11-29,Detroit Red Wings,Philadelphia Flyers,1,6
2019-11-29,Los Angeles Kings,San Jose Sharks,1,4
2019-11-29,Arizona Coyotes,Vegas Golden Knights,1,2
2019-11-29,Tampa Bay Lightning,Washington Capitals,3,4
2019-11-30,San Jose Sharks,Arizona Coyotes,4,2
2019-11-30,Ottawa Senators,Calgary Flames,1,3
2019-11-30,Chicago Blackhawks,Colorado Avalanche,3,7
2019-11-30,Washington Capitals,Detroit Red Wings,5,2
2019-11-30,Vancouver Canucks,Edmonton Oilers,5,2
2019-11-30,Nashville Predators,Florida Panthers,0,3
2019-11-30,Winnipeg Jets,Los Angeles Kings,1,2
2019-11-30,Philadelphia Flyers,Montreal Canadiens,4,3
2019-11-30,New York Rangers,New Jersey Devils,4,0
2019-11-30,Columbus Blue Jackets,New York Islanders,0,2
2019-11-30,Pittsburgh Penguins,St. Louis Blues,2,5
2019-11-30,Carolina Hurricanes,Tampa Bay Lightning,3,2
2019-11-30,Buffalo Sabres,Toronto Maple Leafs,1,2
2019-12-01,Montreal Canadiens,Boston Bruins,1,3
2019-12-01,Dallas Stars,Minnesota Wild,2,3
2019-12-01,Edmonton Oilers,Vancouver Canucks,3,2
2019-12-02,Los Angeles Kings,Anaheim Ducks,2,4
2019-12-02,New Jersey Devils,Buffalo Sabres,1,7
2019-12-02,St. Louis Blues,Chicago Blackhawks,4,0
2019-12-02,New York Islanders,Detroit Red Wings,4,1
2019-12-02,Vegas Golden Knights,New York Rangers,4,1
2019-12-03,Carolina Hurricanes,Boston Bruins,0,2
2019-12-03,Arizona Coyotes,Columbus Blue Jackets,4,2
2019-12-03,Minnesota Wild,Florida Panthers,4,2
2019-12-03,New York Islanders,Montreal Canadiens,2,4
2019-12-03,Vegas Golden Knights,New Jersey Devils,4,3
2019-12-03,Tampa Bay Lightning,Nashville Predators,3,2
2019-12-03,Toronto Maple Leafs,Philadelphia Flyers,1,6
2019-12-03,Washington Capitals,San Jose Sharks,5,2
2019-12-03,Ottawa Senators,Vancouver Canucks,2,5
2019-12-03,Dallas Stars,Winnipeg Jets,1,5
2019-12-04,Ottawa Senators,Edmonton Oilers,5,2
2019-12-04,Washington Capitals,Los Angeles Kings,3,1
2019-12-04,St. Louis Blues,Pittsburgh Penguins,0,3
2019-12-04,Colorado Avalanche,Toronto Maple Leafs,3,1
2019-12-05,Chicago Blackhawks,Boston Bruins,4,3
2019-12-05,San Jose Sharks,Carolina Hurricanes,2,3
2019-12-05,New York Rangers,Columbus Blue Jackets,3,2
2019-12-05,Buffalo Sabres,Calgary Flames,3,4
2019-12-05,Winnipeg Jets,Dallas Stars,2,3
2019-12-05,Colorado Avalanche,Montreal Canadiens,3,2
2019-12-05,Vegas Golden Knights,New York Islanders,2,3
2019-12-05,Arizona Coyotes,Philadelphia Flyers,3,1
2019-12-05,Minnesota Wild,Tampa Bay Lightning,5,4
2019-12-06,Washington Capitals,Anaheim Ducks,3,2
2019-12-06,Los Angeles Kings,Edmonton Oilers,1,2
2019-12-06,Chicago Blackhawks,New Jersey Devils,2,1
2019-12-06,Montreal Canadiens,New York Rangers,2,1
2019-12-06,Arizona Coyotes,Pittsburgh Penguins,0,2
2019-12-07,Colorado Avalanche,Boston Bruins,4,1
2019-12-07,Minnesota Wild,Carolina Hurricanes,2,6
2019-12-07,Los Angeles Kings,Calgary Flames,3,4
2019-12-07,New York Islanders,Dallas Stars,1,3
2019-12-07,Pittsburgh Penguins,Detroit Red Wings,5,3
2019-12-07,Columbus Blue Jackets,Florida Panthers,1,4
2019-12-07,New Jersey Devils,Nashville Predators,4,6
2019-12-07,Ottawa Senators,Philadelphia Flyers,3,4
2019-12-07,Toronto Maple Leafs,St. Louis Blues,5,2
2019-12-07,San Jose Sharks,Tampa Bay Lightning,1,7
2019-12-07,Buffalo Sabres,Vancouver Canucks,5,6
2019-12-08,Arizona Coyotes,Chicago Blackhawks,4,3
2019-12-08,Buffalo Sabres,Edmonton Oilers,3,2
2019-12-08,San Jose Sharks,Florida Panthers,1,5
2019-12-08,New York Rangers,Vegas Golden Knights,5,0
2019-12-08,Anaheim Ducks,Winnipeg Jets,2,3
2019-12-09,Calgary Flames,Colorado Avalanche,5,4
2019-12-09,Boston Bruins,Ottawa Senators,2,5
2019-12-09,New York Islanders,Tampa Bay Lightning,5,1
2019-12-09,Columbus Blue Jackets,Washington Capitals,5,2
2019-12-10,Calgary Flames,Arizona Coyotes,5,2
2019-12-10,St. Louis Blues,Buffalo Sabres,2,5
2019-12-10,New Jersey Devils,Dallas Stars,0,2
2019-12-10,Carolina Hurricanes,Edmonton Oilers,6,3
2019-12-10,Tampa Bay Lightning,Florida Panthers,2,1
2019-12-10,New York Rangers,Los Angeles Kings,1,3
2019-12-10,Anaheim Ducks,Minnesota Wild,3,2
2019-12-10,San Jose Sharks,Nashville Predators,1,3
2019-12-10,Montreal Canadiens,Pittsburgh Penguins,4,1
2019-12-10,Toronto Maple Leafs,Vancouver Canucks,4,1
2019-12-10,Chicago Blackhawks,Vegas Golden Knights,1,5
2019-12-10,Detroit Red Wings,Winnipeg Jets,1,5
2019-12-11,Philadelphia Flyers,Colorado Avalanche,1,3
2019-12-11,Ottawa Senators,Montreal Canadiens,2,3
2019-12-11,Boston Bruins,Washington Capitals,2,3
2019-12-12,Los Angeles Kings,Anaheim Ducks,2,1
2019-12-12,Chicago Blackhawks,Arizona Coyotes,2,5
2019-12-12,Nashville Predators,Buffalo Sabres,3,4
2019-12-12,Toronto Maple Leafs,Calgary Flames,2,4
2019-12-12,Winnipeg Jets,Detroit Red Wings,2,5
2019-12-12,New York Islanders,Florida Panthers,3,1
2019-12-12,Edmonton Oilers,Minnesota Wild,5,6
2019-12-12,Columbus Blue Jackets,Pittsburgh Penguins,0,1
2019-12-12,New York Rangers,San Jose Sharks,6,3
2019-12-12,Vegas Golden Knights,St. Louis Blues,2,4
2019-12-12,Boston Bruins,Tampa Bay Lightning,2,3
2019-12-12,Carolina Hurricanes,Vancouver Canucks,0,1
2019-12-13,New Jersey Devils,Colorado Avalanche,1,3
2019-12-13,Vegas Golden Knights,Dallas Stars,3,2
2019-12-14,New York Rangers,Anaheim Ducks,3,4
2019-12-14,New Jersey Devils,Arizona Coyotes,2,1
2019-12-14,Carolina Hurricanes,Calgary Flames,4,0
2019-12-14,Toronto Maple Leafs,Edmonton Oilers,4,1
2019-12-14,Boston Bruins,Florida Panthers,4,2
2019-12-14,Philadelphia Flyers,Minnesota Wild,1,4
2019-12-14,Detroit Red Wings,Montreal Canadiens,2,1
2019-12-14,Dallas Stars,Nashville Predators,4,1
2019-12-14,Buffalo Sabres,New York Islanders,2,3
2019-12-14,Columbus Blue Jackets,Ottawa Senators,3,4
2019-12-14,Los Angeles Kings,Pittsburgh Penguins,4,5
2019-12-14,Vancouver Canucks,San Jose Sharks,2,4
2019-12-14,Chicago Blackhawks,St. Louis Blues,3,4
2019-12-14,Washington Capitals,Tampa Bay Lightning,5,2
2019-12-15,Minnesota Wild,Chicago Blackhawks,3,5
2019-12-15,Los Angeles Kings,Detroit Red Wings,4,2
2019-12-15,Vancouver Canucks,Vegas Golden Knights,3,6
2019-12-15,Philadelphia Flyers,Winnipeg Jets,3,7
2019-12-16,Washington Capitals,Columbus Blue Jackets,0,3
2019-12-16,Edmonton Oilers,Dallas Stars,2,1
2019-12-16,Ottawa Senators,Florida Panthers,1,6
2019-12-16,Nashville Predators,New York Rangers,5,2
2019-12-16,Colorado Avalanche,St. Louis Blues,2,5
2019-12-17,Los Angeles Kings,Boston Bruins,4,3
2019-12-17,Pittsburgh Penguins,Calgary Flames,4,1
2019-12-17,Columbus Blue Jackets,Detroit Red Wings,5,3
2019-12-17,Nashville Predators,New York Islanders,8,3
2019-12-17,Anaheim Ducks,Philadelphia Flyers,1,4
2019-12-17,Arizona Coyotes,San Jose Sharks,3,2
2019-12-17,Ottawa Senators,Tampa Bay Lightning,3,4
2019-12-17,Buffalo Sabres,Toronto Maple Leafs,3,5
2019-12-17,Montreal Canadiens,Vancouver Canucks,3,1
2019-12-17,Minnesota Wild,Vegas Golden Knights,2,3
2019-12-17,Carolina Hurricanes,Winnipeg Jets,6,3
2019-12-18,Colorado Avalanche,Chicago Blackhawks,4,1
2019-12-18,Anaheim Ducks,New Jersey Devils,1,3
2019-12-18,Edmonton Oilers,St. Louis Blues,1,2
2019-12-19,Minnesota Wild,Arizona Coyotes,8,5
2019-12-19,New York Islanders,Boston Bruins,3,2
2019-12-19,Los Angeles Kings,Columbus Blue Jackets,2,3
2019-12-19,Montreal Canadiens,Calgary Flames,4,3
2019-12-19,Carolina Hurricanes,Colorado Avalanche,3,1
2019-12-19,Nashville Predators,Ottawa Senators,4,5
2019-12-19,Buffalo Sabres,Philadelphia Flyers,1,6
2019-12-19,Dallas Stars,Tampa Bay Lightning,4,3
2019-12-19,Vegas Golden Knights,Vancouver Canucks,4,5
2019-12-19,Chicago Blackhawks,Winnipeg Jets,4,1
2019-12-20,Pittsburgh Penguins,Edmonton Oilers,5,2
2019-12-20,Dallas Stars,Florida Panthers,4,7
2019-12-20,Washington Capitals,New Jersey Devils,6,3
2019-12-20,Toronto Maple Leafs,New York Rangers,6,3
2019-12-21,Nashville Predators,Boston Bruins,4,3
2019-12-21,Los Angeles Kings,Buffalo Sabres,2,3
2019-12-21,Florida Panthers,Carolina Hurricanes,4,2
2019-12-21,New Jersey Devils,Columbus Blue Jackets,1,5
2019-12-21,Chicago Blackhawks,Colorado Avalanche,5,3
2019-12-21,Montreal Canadiens,Edmonton Oilers,3,4
2019-12-21,Winnipeg Jets,Minnesota Wild,6,0
2019-12-21,Anaheim Ducks,New York Islanders,6,5
2019-12-21,Philadelphia Flyers,Ottawa Senators,5,4
2019-12-21,St. Louis Blues,San Jose Sharks,5,2
2019-12-21,Detroit Red Wings,Toronto Maple Leafs,1,4
2019-12-21,Pittsburgh Penguins,Vancouver Canucks,1,4
2019-12-21,Tampa Bay Lightning,Washington Capitals,1,3
2019-12-22,Calgary Flames,Dallas Stars,5,1
2019-12-22,Arizona Coyotes,Detroit Red Wings,5,2
2019-12-22,Anaheim Ducks,New York Rangers,1,5
2019-12-22,Vegas Golden Knights,San Jose Sharks,3,1
2019-12-23,Washington Capitals,Boston Bruins,3,7
2019-12-23,New Jersey Devils,Chicago Blackhawks,7,1
2019-12-23,St. Louis Blues,Los Angeles Kings,4,1
2019-12-23,Calgary Flames,Minnesota Wild,0,3
2019-12-23,Arizona Coyotes,Nashville Predators,2,3
2019-12-23,Columbus Blue Jackets,New York Islanders,3,2
2019-12-23,Buffalo Sabres,Ottawa Senators,1,3
2019-12-23,New York Rangers,Philadelphia Flyers,1,5
2019-12-23,Florida Panthers,Tampa Bay Lightning,1,6
2019-12-23,Carolina Hurricanes,Toronto Maple Leafs,6,8
2019-12-23,Edmonton Oilers,Vancouver Canucks,2,4
2019-12-23,Colorado Avalanche,Vegas Golden Knights,7,3
2019-12-23,Montreal Canadiens,Winnipeg Jets,6,2
2019-12-27,Vegas Golden Knights,Anaheim Ducks,3,4
2019-12-27,Boston Bruins,Buffalo Sabres,3,0
